City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
brvnavon,Brvnavon,Eastern Cape,-30.583333,26.316667,5
brymac,Brymac,Eastern Cape,-31.956313,27.033031,5
bucale,Bucale,Eastern Cape,-31.498146,29.616876,5
bucele,Bucele,Eastern Cape,-31.498146,29.616876,5
buchele,Buchele,Eastern Cape,-31.498146,29.616876,5
buffalo,Buffalo,Eastern Cape,-33.019091,27.850746,5
buffalo harbor,Buffalo Harbor,Eastern Cape,-33.031094,27.909851,5
buffalo neck,Buffalo Neck,Eastern Cape,-30.837724,28.884214,5
buffalo nek,Buffalo Nek,Eastern Cape,-30.837724,28.884214,5
buffalo thorns,Buffalo Thorns,Eastern Cape,-31.613039,26.905875,5
buffelsbadden,Buffelsbadden,Eastern Cape,-30.715395,26.714518,5
buffelsdoorn,Buffelsdoorn,Eastern Cape,-31.6,27.05,5
buffelsdoring,Buffelsdoring,Eastern Cape,-31.588612,26.940893,5
buhlanyanga,Buhlanyanga,Eastern Cape,-31.222054,29.598472,5
bukaza,Bukaza,Eastern Cape,-31.171661,29.456719,5
bukazi,Bukazi,Eastern Cape,-31.171661,29.456719,5
bulawa,Bulawa,Eastern Cape,-31.78127,29.311034,5
bulembu,Bulembu,Eastern Cape,-31.068408,29.39794,5
bultfontein,Bultfontein,Eastern Cape,-30.761891,25.539734,5
bulungulu,Bulungulu,Eastern Cape,-32.117857,28.997457,5
bulvlei,Bulvlei,Eastern Cape,-33.7,25.533333,5
bumazi,Bumazi,Eastern Cape,-31.113882,29.622248,5
bumbana,Bumbana,Eastern Cape,-30.800557,28.706353,5
bumbane,Bumbane,Eastern Cape,-31.571677,28.248402,5
bumbeni,Bumbeni,Eastern Cape,-30.975178,28.904853,5
bunga,Bunga,Eastern Cape,-32.316667,28.15,5
bunkers hill,Bunkers Hill,Eastern Cape,-32.983333,27.916667,5
buntingville,Buntingville,Eastern Cape,-31.640088,28.88045,5
burgersdorf,Burgersdorf,Eastern Cape,-30.997659,26.328623,5
burgersdorp,Burgersdorp,Eastern Cape,-30.997659,26.328623,5
burghersdorp,Burghersdorp,Eastern Cape,-30.997659,26.328623,5
burnley,Burnley,Eastern Cape,-31.547008,26.339957,5
burnshill,Burnshill,Eastern Cape,-32.766667,27.066667,5
bushmans river village,Bushmans River Village,Eastern Cape,-33.686305,26.656043,5
busila,Busila,Eastern Cape,-32.316999,28.351469,5
buto,Buto,Eastern Cape,-31.65311,29.348271,5
butsheni,Butsheni,Eastern Cape,-30.840661,29.054026,5
butterworth,Butterworth,Eastern Cape,-32.330833,28.149808,5
buttville,Buttville,Eastern Cape,-30.936376,29.617768,5
butulo,Butulo,Eastern Cape,-31.607185,29.301681,5
buwa,Buwa,Eastern Cape,-31.884135,28.583248,5
buyskloof,Buyskloof,Eastern Cape,-33.597023,26.082825,5
buziba,Buziba,Eastern Cape,-31.212454,29.299308,5
buzisa,Buzisa,Eastern Cape,-31.883333,28.866667,5
bylletrs,Bylletrs,Eastern Cape,-32.833528,28.048293,5
caba,Caba,Eastern Cape,-31.079812,28.623117,5
caba vale,Caba Vale,Eastern Cape,-31.07453,28.599465,5
cabane,Cabane,Eastern Cape,-30.146368,29.845146,5
cabase,Cabase,Eastern Cape,-30.835,28.998097,5
cabazana,Cabazana,Eastern Cape,-30.687439,29.407294,5
cabhane,Cabhane,Eastern Cape,-30.625092,28.927543,5
cacadu,Cacadu,Eastern Cape,-30.93843,29.131943,5
cafutweni,Cafutweni,Eastern Cape,-32.260252,28.304173,5
cala,Cala,Eastern Cape,-30.965069,28.836926,5
cala pass,Cala Pass,Eastern Cape,-31.474685,27.717376,5
caledonia,Caledonia,Eastern Cape,-30.92695,26.62193,5
calucalu,Calucalu,Eastern Cape,-30.814349,28.5626,5
camama,Camama,Eastern Cape,-32.044628,27.555811,5
cambria,Cambria,Eastern Cape,-33.664554,24.568093,5
cambridge,Cambridge,Eastern Cape,-32.978457,27.887341,5
camerondale,Camerondale,Eastern Cape,-31.593024,29.5261,5
camsha,Camsha,Eastern Cape,-32.300137,28.703632,5
cancele,Cancele,Eastern Cape,-30.816625,28.813267,5
cane,Cane,Eastern Cape,-31.255672,29.632164,5
cannon rocks,Cannon Rocks,Eastern Cape,-33.747635,26.54288,5
cannonvale,Cannonvale,Eastern Cape,-33.706746,25.804331,5
canzibe,Canzibe,Eastern Cape,-31.8,29.066667,5
cape saint francis,Cape Saint Francis,Eastern Cape,-34.207896,24.833186,5
caphu,Caphu,Eastern Cape,-32.183333,28.333333,5
carleen,Carleen,Eastern Cape,-32.839311,28.077394,5
carnarvon,Carnarvon,Eastern Cape,-31.585712,26.73707,5
carrghmore,Carrghmore,Eastern Cape,-31.46895,25.682788,5
carrickmoor,Carrickmoor,Eastern Cape,-31.931115,26.388285,5
castleton,Castleton,Eastern Cape,-31.488402,26.260755,5
cata,Cata,Eastern Cape,-32.55,27.116667,5
catana,Catana,Eastern Cape,-30.634562,29.040002,5
cathcart,Cathcart,Eastern Cape,-32.298497,27.143616,5
cat's pass,Cat's Pass,Eastern Cape,-32.431096,28.416585,5
caweni,Caweni,Eastern Cape,-30.919485,28.472721,5
cebano,Cebano,Eastern Cape,-30.535075,27.562358,5
cebe,Cebe,Eastern Cape,-32.503246,28.518144,5
cebe trading station,Cebe Trading Station,Eastern Cape,-32.5,28.516667,5
cedarville,Cedarville,Eastern Cape,-30.867891,29.137104,5
cefane,Cefane,Eastern Cape,-31.683333,28.2,5
cegcuwana,Cegcuwana,Eastern Cape,-32.341765,28.076771,5
ceka,Ceka,Eastern Cape,-31.367337,28.643496,5
celetyuma,Celetyuma,Eastern Cape,-33.273122,27.144891,5
cendani,Cendani,Eastern Cape,-32.459348,28.282801,5
cendini,Cendini,Eastern Cape,-32.491067,28.405935,5
centane,Centane,Eastern Cape,-32.507815,28.317894,5
centani,Centani,Eastern Cape,-32.459348,28.282801,5
centerton,Centerton,Eastern Cape,-33.829209,24.861716,5
centule,Centule,Eastern Cape,-30.820267,28.931366,5
centuli,Centuli,Eastern Cape,-30.820267,28.931366,5
centuti,Centuti,Eastern Cape,-32.427459,28.354021,5
cenyu,Cenyu,Eastern Cape,-32.551833,27.449509,5
cepeni,Cepeni,Eastern Cape,-31.492671,29.406971,5
cetha,Cetha,Eastern Cape,-31.824661,26.359177,5
cezu,Cezu,Eastern Cape,-31.769927,28.706467,5
chachu,Chachu,Eastern Cape,-31.862102,27.209319,5
chamisse,Chamisse,Eastern Cape,-30.885583,28.193895,5
chamisso,Chamisso,Eastern Cape,-30.885583,28.193895,5
charnwood,Charnwood,Eastern Cape,-31.352364,26.248666,5
chasant,Chasant,Eastern Cape,-31.6,26.266667,5
cheddar hill,Cheddar Hill,Eastern Cape,-30.72973,26.311114,5
cheviotdale,Cheviotdale,Eastern Cape,-30.81184,25.972595,5
chevy chase,Chevy Chase,Eastern Cape,-30.81323,28.515354,5
chisira,Chisira,Eastern Cape,-33.165129,27.149095,5
christiana,Christiana,Eastern Cape,-31.813829,26.042431,5
christmas vale,Christmas Vale,Eastern Cape,-33.194127,27.611347,5
chumbi,Chumbi,Eastern Cape,-31.633333,28.783333,5
cibeni,Cibeni,Eastern Cape,-31.53531,29.275415,5
cibini,Cibini,Eastern Cape,-31.004641,29.596569,5
cicira,Cicira,Eastern Cape,-31.267417,28.448945,5
ciko,Ciko,Eastern Cape,-32.25195,28.581689,5
cilleria,Cilleria,Eastern Cape,-31.747195,25.5954,5
cingweni,Cingweni,Eastern Cape,-32.016667,28.383333,5
cintsa,Cintsa,Eastern Cape,-32.833333,28.083333,5
cintsa mouth,Cintsa Mouth,Eastern Cape,-32.830975,28.11139,5
cintsa mouth east,Cintsa Mouth East,Eastern Cape,-32.830975,28.11139,5
cintsa mouth west,Cintsa Mouth West,Eastern Cape,-32.845225,28.115976,5
cintsa skool,Cintsa Skool,Eastern Cape,-32.833333,28.083333,5
cintsa west,Cintsa West,Eastern Cape,-32.845225,28.115976,5
cirira opleidingskool,Cirira Opleidingskool,Eastern Cape,-31.558641,28.704944,5
cizele,Cizele,Eastern Cape,-31.818218,28.862668,5
clanville,Clanville,Eastern Cape,-30.993825,27.222842,5
clarkbury,Clarkbury,Eastern Cape,-31.785549,28.287791,5
clarkebury,Clarkebury,Eastern Cape,-31.785549,28.287791,5
clarkeson,Clarkeson,Eastern Cape,-34.010177,24.346794,5
clarksdale,Clarksdale,Eastern Cape,-31.357906,26.877127,5
clarkson,Clarkson,Eastern Cape,-34.010177,24.346794,5
clarkson village,Clarkson Village,Eastern Cape,-34.010177,24.346794,5
clarkville,Clarkville,Eastern Cape,-30.779149,29.675638,5
cliffdale,Cliffdale,Eastern Cape,-30.935181,29.450284,5
clifford,Clifford,Eastern Cape,-31.081479,27.448531,5
